,Podnaslov,Glavni naslov,Prvi paragraf,Datum objave vijesti
455,BiH,"Sarajevo: I danas problemi u vodosnabdijevanju, ViK apeluje da se ne peru dvorišta i tepisi",Javno preduzeće Vodovod i Kanalizacija i danas obavještava građane Sarajeva da će u pojedinim dijelovima grada snabdijevanje vodom biti problematično.,02.09.2015. u 11:40
456,BiH,Otežano vodosnabdijevanje na području Sarajeva i moguće pogoršanje,"Vodosnabdijevanje Grada Sarajeva u dnevnim satima je uredno, ali se odvija veoma otežano, saopćeno je iz KJKP ""Vodovod i kanalizacija"" d.o.o Sarajevo.",30.08.2015. u 12:12
457,BiH,Stručnjaci pojašnjavaju: Koncept rješenja problema vodosnabdijevanja u Sarajevu,"Svjedoci smo kako se ovih dana ponovo intenziviraju priče o problemu vodosnabdijevanja u Sarajevu.  Problem je stari, vjerovatno zato što još niko nije pronašao čarobni štapić da preko noći pronađe rješenje za nešto od čega je svako bježao posljednjih 20 godina, i da to, ako je ikako moguće, ništa ne košta. Uostalom, kako pronaći rješenje za ovakav problem u državi u kojoj je lako podići kredit da bi se isplatile plate državnim službenicima, ali je teško podići kredit da bi se riješio problem vodosnabdijevanja u glavnom gradu te države.",23.08.2015. u 10:46
458,BiH,Nakon više od deset godina: Otklonjen kvar u podrumskim prostorijama na Dobrinji,Ekipe Službe civilne zaštite Općine Novi Grad Sarajevo u saradnji sa KJKP Vodovod i kanalizacija riješile su dugogodišnji problem plavljenja podrumskih prostorija u stambenoj zgradi u ulici Dobrinjske bolnice broj 9 na Dobrinji.,18.08.2015. u 11:35
459,BiH,Trenutno preskupo: ViK traga za novim načinom očitavanja utroška vode i izdavanja računa,U Kantonalnom javnom komunalnom preduzeću Vodovod i kanalizacija Sarajevo već neko vrijeme tragaju za novim načinom očitavanja utroška vode i izdavanja računa.,14.08.2015. u 09:05
460,BiH,Ovo su dužnici za vodu u Kantonu Sarajevo,"Vlada Kantona Sarajevo je na posljednjoj sjednici dobila informaciju o ukupnom dugovanju i prosječnoj potrošnji za autopraonice i ugostiteljske objekte. Ukupna dugovanja autopraonica, restorana, kafića, kafana, pansiona i hotela u KS za vodu iznose više od 630.000 KM.",13.08.2015. u 21:00
461,BiH,Stanovnici ogorčeni: Vodovod dužnicima u Sokolović Koloniji isključuje vodu,"Stanari naselja Sokolović Kolonija u Kantonu Sarajevu žale se kako KJKP Vodovod i kanalizacija d.o.o. danima isključuje vodu domaćinstvima koja imaju dugovanja, kako tvrde, još iz perioda rata. Također, zbog više kvarova i pucanja cijevi, nestaje im vode i tokom dana, što je neizdrživo u ovim ljetnim danima s visokim temperaturama.",31.07.2015. u 08:59
462,BiH,"Sarajevo: Rekordna potrošnja vode, iz VIK-a pozivaju građane da je ne rasipaju","Zbog ljetnih vrućina i veoma visokih temperatura zraka na području Kantona Sarajevu u proteklom periodu, KJKP VIK Sarajevo bilježi rekordne potrošnju vode na cijelom području Kantona. U dane vikenda u pojedinim zonama vodosnabdijevanja isporuka-potrošnja  vode se povećala i do 40%.",21.07.2015. u 14:46
463,BiH,"Sarajevo: Normalizirano snabdijevanje vodom, redukcije u noćnim satima",Sinoć oko ponoći normalizirano je snabdijevanje vodom u svim dijelovima Sarajeva.,20.07.2015. u 09:15
464,BiH,"Pojedini dijelovi Sarajeva veći dio dana bez vode, iz VIK-a nema odgovora","Građani Breke i Bjelava danas su veći dio dana bili bez vode, potvrdilo je za Klix.ba više građana koji žive u ovim dijelovima Sarajeva.",19.07.2015. u 22:23
465,BiH,Postači u KS i ovaj ramazan provode uz noćne redukcije vode,Redukcije vode u pojedinim naseljima Kantona Sarajevo i dalje su aktuelne u noćnim satima. Ovo je poseban problem u mjesecu razmazanu jer je sehur u vrijeme kada su na snazi redukcije.,23.06.2015. u 19:44
466,BiH,ViK poziva građane da im pomognu i prijave kvarove koje uoče,Iz KJKP “Vodovod i kanalizacija” Sarajevo pozvali su građane da im pomognu tako što će prijaviti sve eventualne kvarove koje uoče na vodovodnoj ili kanalizacionoj mreži.,30.04.2015. u 16:24
467,BiH,"Građani Sarajeva se žale na smrad iz kanalizacije, u VIK-u kažu da nije do njih","Građani sarajevskih naselja Pofalići, Socijalno i Dolac Malta žale sa da se u ovim naseljima već danima osjeti neugodan miris.",21.04.2015. u 19:26
468,BiH,Zbog izvođenja radova neredovno vodosnabdijevanje u KS-u,Zbog izvođenja radova na popravljanju kvarova na vodovodnoj mreži danas u terminu od 09.00 do 16.00 sati doći će do neredovnog vodosnabdijevanja u više ulica u Sarajevu.,07.11.2014. u 13:49
469,BiH,Sarajevo: Neredovno vodosnabdijevanje u pojedinim naseljima,Zbog izvođenja radova na popravljanju kvarova na vodovodnoj mreži danas od 09.00 do 16.00 sati doći će do neredovnog vodosnabdijevanja u pojedinim ulicama u Sarajevu.,03.11.2014. u 10:13
470,BiH,VIK: Poteškoće u snadbijevanju vode zbog popravljanja kvarova na vodovodnoj mreži,"U pojedinim sajarajevsim ulicama snadbijevanje vodom je poremećeno zbog popravka kvarova na vodovodnoj mreži, saopćeno je iz KJKP Vodovod i kanalizacija.",22.10.2014. u 12:34
471,BiH,"Sarajlije se žale da noću nemaju vode, iz Vodovoda kažu da redukcija nema","U toku noćnih sati, u Kantonu Sarajevo se vrši isporuka vode pod smanjenim pritiskom, potvrđeno je za Klix.ba iz Službe za informiranja Kantonalnog javnog komunalnog preduzeća ""Vodovod i kanalizacija"" Sarajevo.",01.07.2014. u 09:33
472,BiH,Poplavljene trafostanice: Veliki dio Kantona Sarajevo ostao bez struje,"Zbog velikih padavina, koje su prouzrokovale plavljenje elektroenergetskih objekata, bez snabdijevanja električnom energijom trenutno su dijelovi sarajevskih općina Vogošća, Novo Sarajevo, Novi Grad i Ilidža.",14.05.2014. u 09:37
473,BiH,Bez obzira na padavine u KS i dalje na snazi noćne redukcije vode,"Građani Kantona Sarajevo u posljednje vrijeme se žale na učestale redukcije vode. Iz KJKP Vodovod i kanalizacija kažu da se dnevne redukcije održavaju samo u ulicama gdje se vrše opravke kvarova, a da je na snazi i dalje mjera ""noćno obaranja pritiska"" bez obzira na obilne padavine.",29.04.2014. u 10:56
474,BiH,Bara od kanalizacije nasred ulice na Sedreniku,"Građani Ramića Banje, u sarajevskom naselju Sedrenik, već mjesecima prolaze preko bare nastale izlijevanjem kanalizacije na ulicu.",25.03.2014. u 19:42
475,BiH,Sutra obustava isporuke vode na Grbavici,"Zbog izvođenja radova i rekonstrukcije vodovodne mreže u naselju Grbavica sutra od 09.00 do 13.00 sati doći će do obustave isporuke vode u ulicama: Zagrebačka, Grbavička, Radnička i Derviša Numića, saopćeno je iz KJKP ""Vodovod i kanalizacija"" Sarajevo.",06.03.2014. u 11:59
476,BiH,"Saniran kvar na cijevi, stanovnici Sarajeva imaju normalno vodosnabdijevanje","Nakon što su radnici ŽGP-a oštetili glavni magistralni potisni cjevovod promjera DN 700 mm na Stupu, u Kantonu Sarajevu je tokom jučerašnjeg došlo do poremećaja u vodosnabdijevanju.",07.01.2014. u 10:10
477,BiH,Oštećen cjevovod na Stupu: Veliki dio Sarajeva ostaje bez vode,"Nakon što su radnici ŽGP-a oštetili glavni magistralni potisni cjevovod promjera DN 700 na Stupu, doći će do poremećaja u vodosnabdijevanju dijelova grada: Velešići, Pofalići, Koševsko brdo, Ciglane, Šip, Alipašino Polje, Bjelave, Podhrastovi, Sedrenik, Zmajevac, Grdonj, Breka, Dobrinja, Čengić Vila, Hrasno, Dobrinja, Grbavica, Dolac Malta, Buća Potok, saopćeno je iz Vodovoda i kanalizacije Sarajevo.",06.01.2014. u 16:11
478,BiH,Uskoro rekonstrukcija vodovoda i kanalizacije u Ulici Šejh Juje,"Na osnovu sporazuma o realizaciji projekta rekonstrukcije vodovodne i kanalizacione mreže u Ulici Šejh Juje kod broja 32, preduzeće Vodovod i kanalizacija će tokom narednog perioda započeti realizaciju tog projekta za koji je iz budžeta Općine Centar za ovu godinu izdvojeno 96.260 KM.",06.11.2013. u 11:16
479,BiH,Vlada KS nije usvojila izvještaje o poslovanju VIK-a i Parka,"Pred Vladom Kantona Sarajevo na današnjoj, 41. sjednici, u okviru zbirnog izvještaja kojeg priprema Zavod za planiranje razvoja KS-a, našli su se izvještaji o poslovanju javnih komunalnih preduzeća za 2012. godinu i to: Toplane Sarajevo, Vodovod i kanalizacija, Park, Sarajevogas, Tržnice i pijace, Rad, Pokop, Vodostan Ilijaš, Komunalac Hadžići i JKP Trnovo.",31.10.2013. u 16:51
480,BiH,"Sljedeće sedmice moguće isključenje struje GRAS-u, ViK-u, ZOI-u...","JP Elektroprivreda BiH upozorava Vladu Kantona Sarajevo i uprave preduzeća Vodovod i kanalizacija, Gras, ZOI 84, Hidrogradnja, te Javnu rasvjetu Kantona Sarajevo, da je petak, 25.10.2013. godine, krajnji rok za izmirenje obaveza po tekućoj fakturi (utrošena električna energija za mjesec septembar 2013.godine) i izmirenje obaveza po osnovu sporazuma o plaćanju dugovanja iz ranijeg perioda.",22.10.2013. u 15:48
481,BiH,"Građani KS ogorčeni visokim računima, Vodovod i dalje šuti",U Centar za potrošače sarajevskog preduzeća Vodovod i Kanalizacija ne prestaju dolaziti građani koji imaju pritužbe na enormno visoke iznose na njihovim računima za vodu.,23.09.2013. u 14:42
482,BiH,Zeljković obećava: Građani Sarajeva neće ostati bez javnog prijevoza,Premijer Vlade KS Suad Zeljković poručio je građanima Sarajeva da neće ostati bez javnog gradskog prijevoza bez obzira na to da li će Elektroprivreda BiH isključiti struju GRAS-u ili ne.,27.08.2013. u 13:16
483,,"ViK, GRAS, ZOI '84 i Studentski centar duguju 10,3 miliona KM za električnu energiju","KJKP GRAS Sarajevo, KJKP Vodovod i kanalizacija Sarajevo, JU Studentski centar Sarajevo i ZOI '84 Sarajevo, Javnom preduzeću Elektroprivreda BiH za isporučenu električnu energiju duguju 10.304.350,64 KM.",15.08.2013. u 16:00
484,BiH,Građani Sarajeva ogorčeni zbog poskupljenja vode,"Prošlomjesečna odluka Vlade Kantona Sarajevo (KS) o povećanju cijena vode za domaćinstva za 20 posto, a za privredne subjekte i do 25 posto, izazvala je ogorčenje građana glavnog grada Bosne i Hercegovine.",06.08.2013. u 16:42
485,BiH,Ministar Petrović: Voda je trebala davno poskupjeti,"Od narednog mjeseca iznosi na računima za vodu građana KS će biti viši. Cijene vode za domaćinstva bit će više za 20 posto, a za privredne subjekte za 25 posto.",17.07.2013. u 15:40
486,BiH,"Sarajevo ponovo bez vode nakon ponoći, ViK nema rješenja","Zbog dotrajalosti vodovodne mreže, povećane potrošnje u proteklim danima i niskog vodostaja rijeka, građanima Sarajeva će svakodnevno biti isključivana voda u terminima od 24:00 do 5:00 sati.",27.06.2013. u 08:11
487,BiH,Ekonomski analitičari upozoravaju: BiH je pred kolapsom!,"Bosna i Hercegovina je pred kolapsom! Na to dramatično upozoravaju relevantni ekonomski analitičari iz te zemlje, ukazujući da su na naplatu stigle sve godine nerada i ""života na kredit"", ali i permanentne političke krize u BiH. No, na opasan trend posljednjih sedmica krajnje ozbiljno ukazuje i situacija na terenu, izvještava novinar agencije Anadolija (AA).",27.04.2013. u 09:35
488,BiH,"Isključena struja Vodovodu i kanalizaciji zbog duga od 3,4 miliona maraka",Sarajevskom kantonalnom preduzeću Vodovod i kanalizacija jučer je isključena struja zbog dugovanja prema Elektrodistribuciji.,23.04.2013. u 10:29
489,BiH,Sarajevo: Voda za piće je zdravstveno ispravna u poplavljenim područjima,"Zbog obilnih padavina tokom proteklih dana došlo je do izljevanja podzemnih voda u općinama Novi Grad i Ilidža, ali nema bojazni da je kvalitet vode za piće pogoršan, tvrde u Kantonalnom javnom komunalnom preduzeću Vodovod i kanalizacija Sarajevo.",03.04.2013. u 11:15
490,,"Kanton Sarajevo: Voda bi trebala poskupjeti na 1,52 KM","Ministarstvo prostornog uređenja i zaštite okoliša Kantona Sarajevo pokrenulo je aktivnosti o utvrđivanju ekonomskih cijena komunalnih usluga na području KS-a uključujući i snabdijevanje vodom te odvod otpadnih voda, potvrđeno je Agenciji Fena u KJKP ""Vodovod i kanalizacija"".",07.01.2013. u 12:54
491,Nedovoljne količine vode na izvorištima,"Kiša nije doprinijela poboljšanju vodosnabdijevanja, redukcije se nastavljaju","Kiša koja je padala proteklih dana neće značajnije doprinijeti poboljšanju vodosnabdijevanja, poručuju iz preduzeća Vodovod i Kanalizacija.",16.10.2012. u 16:19
492,"""Kao da smo u ratu""","Građani se žale zbog redukcija, iz Vodovoda krive kvarove","Na informaciju da u noćnim satima u Sarajevu dolazi do redukcija u snabdijevanju vodom reagovali su brojni čitaoci našeg portala, koji kažu da u njihovim naseljima mnogo prije ponoći dolazi, ne samo do smanjenja pritiska, već do potpunog nestanka vode.
",09.10.2012. u 14:39
493,,Zenica: Prva hidroelektrana na cjevovodu pitke vode puštena u rad,"U mjestu Čajdraš kod Zenice danas je puštena u rad prva mini hidroelektrana u Bosni i Hercegovini, koja je izgrađena na postojećem cjevovodu kojim se grad napaja pitkom vodom sa izvorišta Kruščica.",21.09.2012. u 18:40
494,Problem za koji niko nema rješenje,Mještani Šipa se guše u smradu koji se širi naseljem,Sarajevskim naseljem Šip mjesecima se širi nesnosan smrad koji je s ljetnim vrućinama i izostankom padavina postao toliko nepodnošljiv da stanovnici ne mogu ni prozore otvoriti.,24.08.2012. u 19:24
495,Vodovod i kanalizacija,Uredno snabdijevanje Sarajeva vodom,"Vodosnabdijevanje grada Sarajeva u dnevnim satima je uredno, potvrđeno je Feni u Kantonalnom javno komunalnom preduzeću ""Vodovod i kanalizacija"" Sarajevo.",24.08.2012. u 11:18
496,"""Teško je govoriti o uzroku“","Sarajevo: Pukla cijev, mlaz vode išao nekoliko metara u zrak","U vogošćanskom naselju Hotonj je u četvrtak, nešto prije 14 sati, pukla vodovodna cijev, a mlaz je išao i nekoliko metara u zrak.",09.08.2012. u 15:13
497,Potrošnja od 3.000 litara u sekundi,Sarajevo je rekorder u potrošnji vode,"Iako Bosna i Hercegovina spada među vodom najbogatije zemlje u Evropi, građani glavnog grada Sarajeva duže vrijeme suočavaju se sa smanjenim pritiskom vode u vodovodnoj mreži u noćnim satima.",04.08.2012. u 12:39
498,Smanjen pritisak tokom noći,I dalje otežano vodosnabdijevanje u Sarajevu,"Vodosnabdijevanje Kantona Sarajevo i dalje se odvija u otežanim uvjetima, a na području padinskih dijelova Trebevića zbog minimalnog i nestabilnog dotoka s jahorinskih vrela registriraju se prekidi, izjavila je danas Feni glasnogovornica KJKP Vodovod i kanalizacija (ViK) Mirjana Trifunović.",09.02.2012. u 10:49
499,Ne bacajte snijeg u šahtove,U Sarajevu vodosnabdijevanje i dalje u otežanim uvjetima,"Vodosnabdijevanje Kantona Sarajevo i dalje se odvija u otežanim uvjetma, uz konstantno povećanje potrošnje, izjavila je Feni glasnogovornica KJKP Vodovod i kanalizacija (ViK) Mirjana Trifunović.",08.02.2012. u 12:09
500,U VIK-u nema novca za sanaciju,Zbog starih cijevi veliki dio Sarajeva sa slabim mlazom vode,"Redukcije vode, odnosno obaranje nivoa pritiska vode u noćnim satima na potezu Dolac-Malta – Baščaršija, ostat će na snazi sve dok se ne rekonstruiše vodovodna mreža u ovom dijelu Sarajeva, potvrdio je za Sarajevo-x.com Salhudin Bakal, rukovodilac Službe za proizvodnju i distribuciju vode u preduzeću Vodovod i kanalizacija.",31.01.2012. u 17:09
501,Odluka Nadzornog odbora,Fahrudin Pilavdžić više nije direktor ViK-a,"Nadzorni odbor KJKP Vodovod i Kanalizacija smijenio je Fahrudina Pilavdžića sa pozicije generalnog direktora ove kompanije, saznaje portal Sarajevo-x.com.",26.12.2011. u 16:27
502,BiH,Do kraja godine fekalni kolektor na Bjelašnici,"Ministar prostornog uređenja i zaštite okoliša Kantona Sarajevo Abid Jusić sa saradnicima, direktorom KJU za zaštićena prirodna područja Osmanom Delićem i izvršnim direktorom pogona ""Kanalizacija"" u KJKP ""VIK"" Nerminom Drndom, obišli su u petak radove na rekonstrukciji fekalnog kolektora Bjelašnica-Igman-Hadžići.",16.12.2011. u 18:17
503,Trebaju li voda i grijanje biti skuplji,Jekauc: Naša vlast vodi seljačku politiku,Velika bura se digla nakon što je Vlada Kantona Sarajevo donijela pa povukla odluku o poskupljenju vode i grijanja u Sarajevu.,10.11.2011. u 17:59
504,Nakon teksta Sarajevo-x.com,Sarajevo: Otklonjen kvar na kanalizaciji u Milinkladskoj,"Kvar na kanalizacionoj mreži u ulici Milinkladska (iznad broja 157) je otklonjen, odnosno kanalizaciona cijev je pročepljena i otpadna voda više ne teče ulicom, rekla je za Sarajevo-x.com Dijana Ćućula, glavna općinska inspektorica u Novom Sarajevu.",15.06.2011. u 21:35
505,"""Tekući problemi""",Niz Milinkladsku ulicu u Sarajevu teče kanalizacija,Stanari Milinkladske ulice u općini Novo Sarajevo već su dvije sedmice prisiljeni trpjeti to što im kanalizacija teče ulicom u dužini 150 metara.,09.06.2011. u 21:56
506,Problem zasad riješen,"Vodovodu uključena struja, voda sigurna za upotrebu","Električna energija je jutros u 9 sati ponovo uključena sarajevskom preduzeću Vodovod i kanalizacije, potvrđeno je za Sarajevo-x.com iz ovog preduzeća.",20.04.2011. u 11:05
507,,Načelnik Hadžić posjetio gradilište rezervoara Reljevo,"Gradilište na području Reljeva, gdje firma “Vizija” iz Visokog izvodi završne građevinske radove na izgradnji rezervoara, posjetili su načelnik općine Novi Grad Damir Hadžić, direktorica pogona vodovoda Muamera Srna i tehnički direktor KJKP ”ViK” Tarik Badnjević.",30.07.2009. u 16:12
